gene_id,chrom,pos,gene_name
ENSG00000223972.5,chr1,13139,DDX11L1
ENSG00000278267.1,chr1,17402,MIR6859-1
ENSG00000227232.5,chr1,21987,WASH7P
ENSG00000243485.5,chr1,30332,MIR1302-2HG
ENSG00000284332.1,chr1,30434,MIR1302-2
ENSG00000237613.2,chr1,35318,FAM138A
ENSG00000268020.3,chr1,52892,OR4G4P
ENSG00000240361.2,chr1,60857,OR4G11P
ENSG00000186092.6,chr1,68502,OR4F5
ENSG00000239945.1,chr1,90328,AL627309.3
ENSG00000238009.6,chr1,111509,AL627309.1
ENSG00000233750.3,chr1,132930,CICP27
ENSG00000268903.1,chr1,135518,AL627309.6
ENSG00000269981.1,chr1,137824,AL627309.7
ENSG00000239906.1,chr1,140064,AL627309.2
ENSG00000241860.7,chr1,157668,AL627309.5
ENSG00000222623.1,chr1,157836,RNU6-1100P
ENSG00000241599.1,chr1,160986,AL627309.4
ENSG00000279928.2,chr1,183435,DDX11L17
ENSG00000273874.1,chr1,187924,MIR6859-2
ENSG00000279457.4,chr1,190314,WASH9P
ENSG00000286448.1,chr1,267755,AP006222.2
ENSG00000228463.10,chr1,308772,AP006222.1
ENSG00000236679.2,chr1,348174,RPL23AP24
ENSG00000236601.2,chr1,362454,AL732372.1
ENSG00000269732.1,chr1,440051,WBP1LP7
ENSG00000237094.12,chr1,444158,AL732372.2
ENSG00000284733.2,chr1,451209,OR4F29
ENSG00000233653.3,chr1,488504,CICP7
ENSG00000250575.1,chr1,492233,AL732372.3
ENSG00000278757.1,chr1,516428,U6
ENSG00000235146.2,chr1,591198,AC114498.1
ENSG00000225972.1,chr1,629248,MTND1P23
ENSG00000225630.1,chr1,630162,MTND2P28
ENSG00000237973.1,chr1,631845,MTCO1P12
ENSG00000278791.1,chr1,632369,AC114498.2
ENSG00000229344.1,chr1,633098,MTCO2P12
ENSG00000240409.1,chr1,633638,MTATP8P1
ENSG00000248527.1,chr1,634036,MTATP6P1
ENSG00000198744.5,chr1,634649,MTCO3P12
ENSG00000268663.1,chr1,675054,WBP1LP6
ENSG00000284662.1,chr1,686176,OR4F16
ENSG00000230021.10,chr1,706934,AL669831.3
ENSG00000229376.3,chr1,723498,CICP3
ENSG00000228327.3,chr1,752256,AL669831.1
ENSG00000223181.1,chr1,758284,RNU6-1199P
ENSG00000229905.1,chr1,761450,AL669831.2
ENSG00000285268.1,chr1,781994,AL669831.6
ENSG00000237491.10,chr1,794406,LINC01409
ENSG00000230092.7,chr1,809296,AL669831.4
ENSG00000177757.2,chr1,818604,FAM87B
ENSG00000225880.5,chr1,826864,LINC00115
ENSG00000228794.10,chr1,842292,LINC01128
ENSG00000288531.1,chr1,864214,AL669831.7
ENSG00000230368.2,chr1,872487,FAM41C
ENSG00000234711.1,chr1,873820,TUBB8P11
ENSG00000283040.1,chr1,875882,AL669831.5
ENSG00000272438.1,chr1,910405,AL645608.6
ENSG00000230699.2,chr1,913192,AL645608.2
ENSG00000241180.1,chr1,914571,AL645608.4
ENSG00000223764.2,chr1,918940,LINC02593
ENSG00000187634.13,chr1,934249,SAMD11
ENSG00000188976.11,chr1,951756,NOC2L
ENSG00000187961.14,chr1,963152,KLHL17
ENSG00000187583.11,chr1,971174,PLEKHN1
ENSG00000187642.9,chr1,978648,PERM1
ENSG00000272512.1,chr1,997008,AL645608.7
ENSG00000188290.11,chr1,999567,HES4
ENSG00000187608.10,chr1,1007839,ISG15
ENSG00000231702.2,chr1,1008152,AL645608.3
ENSG00000224969.1,chr1,1012595,AL645608.1
ENSG00000188157.15,chr1,1038119,AGRN
ENSG00000242590.1,chr1,1055574,AL645608.5
ENSG00000273443.1,chr1,1062748,AL645608.8
ENSG00000217801.10,chr1,1064532,AL390719.1
ENSG00000237330.3,chr1,1072636,RNF223
ENSG00000131591.18,chr1,1099090,C1orf159
ENSG00000285812.1,chr1,1101092,AL390719.3
ENSG00000223823.1,chr1,1140536,LINC01342
ENSG00000207730.3,chr1,1167151,MIR200B
ENSG00000207607.3,chr1,1167908,MIR200A
ENSG00000198976.1,chr1,1169046,MIR429
ENSG00000272141.1,chr1,1169850,AL390719.2
ENSG00000205231.1,chr1,1176306,TTLL10-AS1
ENSG00000162571.14,chr1,1185908,TTLL10
ENSG00000186891.14,chr1,1205050,TNFRSF18
ENSG00000186827.11,chr1,1212746,TNFRSF4
ENSG00000078808.19,chr1,1224488,SDF4
ENSG00000176022.7,chr1,1233639,B3GALT6
ENSG00000184163.3,chr1,1244584,C1QTNF12
ENSG00000260179.1,chr1,1250556,AL162741.1
ENSG00000160087.21,chr1,1263886,UBE2J2
ENSG00000230415.1,chr1,1277822,LINC01786
ENSG00000162572.21,chr1,1286232,SCNN1D
ENSG00000278073.1,chr1,1296140,MIR6726
ENSG00000131584.19,chr1,1301000,ACAP3
ENSG00000169972.12,chr1,1310137,PUSL1
ENSG00000283712.1,chr1,1312534,MIR6727
ENSG00000240731.1,chr1,1318135,AL139287.1
ENSG00000127054.21,chr1,1318136,INTS11
ENSG00000224051.7,chr1,1326826,CPTP
ENSG00000169962.5,chr1,1333297,TAS1R3
ENSG00000284372.1,chr1,1339679,MIR6808
ENSG00000107404.20,chr1,1342347,DVL1
ENSG00000162576.17,chr1,1357233,MXRA8
ENSG00000175756.13,chr1,1374612,AURKAIP1
ENSG00000223663.2,chr1,1378849,NDUFB4P8
ENSG00000221978.12,chr1,1392523,CCNL2
ENSG00000224870.7,chr1,1400783,MRPL20-AS1
ENSG00000242485.6,chr1,1404601,MRPL20
ENSG00000264293.2,chr1,1405606,RN7SL657P
ENSG00000272455.1,chr1,1409857,MRPL20-DT
ENSG00000235098.9,chr1,1420094,ANKRD65
ENSG00000225905.1,chr1,1421468,AL391244.1
ENSG00000205116.3,chr1,1426958,TMEM88B
ENSG00000225285.1,chr1,1432556,LINC01770
ENSG00000179403.12,chr1,1438872,VWA1
ENSG00000215915.10,chr1,1459926,ATAD3C
ENSG00000160072.20,chr1,1484806,ATAD3B
